"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Vierteljahres-Überblick",1958,35,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1958","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",120,"https://statistik.stadt-zuerich.ch/modules/StatNat/1958/1958_ZSN_Vierteljahres-Ueberblick.pdf"
"Heil- und Pflegeberufe, medizinische Hilfsberufe und Körperpflege",1959,36,"9Überblick über die Frauenarbeit im Gesundheits- und im Erziehungswesen, Heil- und Pflegeberufe, med. Hilfsberufe und Körperpflege 1959","Wirtschaft, Beschäftigte, Gleichstellung",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Heil--und-Pflegeberufe-medizinische-Hilfsberufe-und-Koerperpflege.pdf"
"Erziehungs- und Lehrberufe",1959,36,"Überblick über die Frauenarbeit im Gesundheits- und im Erziehungswesen, Erziehungs- und Lehrberufe 1959","Wirtschaft, Beschäftigte, Gleichstellung",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Erziehungs--und-Lehrberufe.pdf"
"Befragung des städtischen Personals zur Arbeitszeitgestaltung 1959",1959,36,"Befragung des städtischen Personals zur Arbeitszeitgestaltung, bezüglich dem Weg zu Arbeit, Einführung durchgehender Arbeitszeiten und Verpflegungsart 1959","Arbeit, Personal, Arbeitszeit",36,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Befragung-des-staedtischen-Personals-zur-Arbeitszeitgestaltung-1959.pdf"
"Die Frau im geistlichen Amt und in der sozialen Arbeit",1959,36,"Überblick über die Frauenarbeit in geistlichen Ämter und in der sozialen Arbeit 1958","Wirtschaft, Beschäftigte, Gleichstellung, Soziale Arbeit, Gemeinnützige Organisationen",45,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Die-Frau-im-geistlichen-Amt-und-in-der-sozialen-Arbeit.pdf"
"Zuwanderung in die Stadt Zürich 1958",1959,36,"Sonderuntersuchung verschiedener Aspekte der Zuwanderung anhand einer stichprobenweisen Befragung von Zugezogenen 1958","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Aufenthaltsdauer, Wanderungssaldo, Zuzüge, Wegzüge, Bevölkerungsbewegung",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Zuwanderung-in-die-Stadt-Zuerich-1958.pdf"
"Der Wohnungsbau in der Stadt und in der Agglomeration Zürich 1945 bis 1959",1959,36,"Entwicklung des Wohnungsbestandes inkl. Ausblick und Neuerstellte Wohnungen in der Stadt Zürich und in der Agglomeration 1945 bis 1959","Bauen & Wohnen, Bautätigkeit, Gebäude, Wohnungen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Der-Wohnungsbau-in-der-Stadt-und-in-der-Agglomeration-Zuerich-1945-bis-1959.pdf"
"Das Haus zum Napf - neue Ausgabe",1959,36,"Neue Ausgabe zur Geschichte über das Haus zum Napf 1357 bis 1959","Gebäude, Haus zum Napf, Geschichte",58,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Das-Haus-zum-Napf-neue-Ausgabe.pdf"
"Die Bevölkerung der Stadt und der Agglomeration Zürich 1959",1959,36,"Bevölkerungsbilanz der Stadt Zürich und der Agglomerationsgemeinden 1959","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Die-Bevoelkerung-der-Stadt-und-der-Agglomeration-Zuerich-1959.pdf"
"Der Zürcher Fremdenverkehr im Jahre 1959",1959,36,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1959","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Der-Zuercher-Fremdenverkehr-im-Jahre-1959.pdf"
"Vierteljahres-Überblick",1959,36,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1959","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",120,"https://statistik.stadt-zuerich.ch/modules/StatNat/1959/1959_ZSN_Vierteljahres-Ueberblick.pdf"
"Über die Finanzlage der Stadt Zürich",1960,37,"Detaillierter Überblick über Zürichs Finanzlage 1950 bis 1959","Steuern, Finanzen, Finanzpolitik",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Ueber-die-Finanzlage-der-Stadt-Zuerich.pdf"
"Umfrage über das Pensionierungsalter der Frauen in der Stadtverwaltung Zürich 1960",1960,37,"Umfrage über die Senkung des Pensionierungsalters auf 63 Jahre und einer Beitragserhöhung der Frauen in der Stadtverwaltung Zürich 1960","Wirtschaft, Beschäftigte, Gleichstellung, Alter, Sozialversicherungen",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Umfrage-ueber-das-Pensionierungsalter-der-Frauen-in-der-Stadtverwaltung-Zuerich-1960.pdf"
"Haushaltungsrechnungen von Zürcher Arbeiter- und Angestelltenfamilien 1958 und 1959",1960,37,"Detaillierte Liste der Einnahmen und Ausgaben inkl. Nahrungsmittelausgaben von Zürcher Arbeiter- und Angestelltenfamilien 1958 und 1959","Haushalte, Wohnen, Lebenshaltungskosten",31,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Haushaltungsrechnungen-von-Zuercher-Arbeiter--und-Angestelltenfamilien-1958-und-1959.pdf"
"Frauenarbeit in Musik, Theater, Tanz, Schaustellungen, Film, Radio, Fernsehen",1960,37,"Überblick über die Frauenarbeit in Musik, Theater, Tanz, Schaustellungen, Film, Radio, Fernsehen 1960","Wirtschaft, Beschäftigte, Gleichstellung",56,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Frauenarbeit-in-Musik-Theater-Tanz-Schaustellungen-Film-Radio-Fernsehen.pdf"
"Frauenarbeit in Literatur und Presse",1960,37,"Überblick über die Frauenarbeit in Literatur und Presse 1960","Wirtschaft, Beschäftigte, Gleichstellung",45,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Frauenarbeit-in-Literatur-und-Presse.pdf"
"Zürcher Konsumentenpreise und Mietzinsniveau 1960",1960,37,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten für Arbeiter- und Angestelltenfamilien 1960","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Zuercher-Konsumentenpreise-und-Mietzinsniveau-1960.pdf"
"Die Leerwohnungszählung vom 1. Dezember 1960",1960,37,"Leerwohnungsbestand in der Stadt Zürich 1960","Bauen & Wohnen, Leerwohnungen, Wohnen, Wohnungen, Bautätigkeit",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Die-Leerwohnungszaehlung-vom-1-Dezember-1960.pdf"
"Der Bau- und Wohnungsmarkt in der Stadt Zürich und in den Vororten 1960",1960,37,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1960","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Der-Bau--und-Wohnungsmarkt-in-der-Stadt-Zuerich-und-in-den-Vororten-1960.pdf"
"Die Fremdenstadt Zürich 1960",1960,37,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1960","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Die-Fremdenstadt-Zuerich-1960.pdf"
"Die Bevölkerungsentwicklung in der Stadt Zürich und in den Vororten 1960",1960,37,"Bevölkerungsbilanz der Stadt Zürich und der Agglomerationsgemeinden 1960","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Die-Bevoelkerungsentwicklung-in-der-Stadt-Zuerich-und-in-den-Vororten-1960.pdf"
"Vierteljahres-Überblick",1960,37,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1960","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",121,"https://statistik.stadt-zuerich.ch/modules/StatNat/1960/1960_ZSN_Vierteljahres-Ueberblick.pdf"
"Die Volkszählung 1960 in der Stadt Zürich",1961,38,"Ergebnisse der Volkszählungen nach Stadtkreisen und in der Agglomeration  1960","Bevölkerung, Volkszählung, Bevölkerungsstand, Bevölkerungsgliederung",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Die-Volkszaehlung-1960-in-der-Stadt-Zuerich.pdf"
"Frauenarbeit in Bibliotheken, Archiven und Dokumentationsstellen",1961,38,"Überblick über die Frauenarbeit in Bibliotheken, Archiven und Dokumentationsstellen 1961","Wirtschaft, Beschäftigte, Gleichstellung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Frauenarbeit-in-Bibliotheken-Archiven-und-Dokumentationsstellen.pdf"
"Frauenarbeit in der Wissenschaft",1961,38,"Überblick über die Frauenarbeit in der Wissenschaft 1961","Wirtschaft, Beschäftigte, Gleichstellung",61,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Frauenarbeit-in-der-Wissenschaft.pdf"
"Der Anstieg der Zürcher Konsumentenpreise 1961",1961,38,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten für Arbeiter- und Angestelltenfamilien 1961","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Der-Anstieg-der-Zuercher-Konsumentenpreise-1961.pdf"
"Die Bevölkerung der Stadt Zürich und der Vororte 1961",1961,38,"Bevölkerungsbilanz der Stadt Zürich und der Agglomerationsgemeinden 1961","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Die-Bevoelkerung-der-Stadt-Zuerich-und-der-Vororte-1961.pdf"
"Der Wohnungsbau in der Stadt Zürich und in den Vororten 1961",1961,38,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1961","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Der-Wohnungsbau-in-der-Stadt-Zuerich-und-in-den-Vororten-1961.pdf"
"Zürcher Mütterbefragung 1957/58",1961,38,"Stichprobenweise Befragung von erwerbstätigen Mütter über Einkommen, Berufstätigkeit, Wohnverhältnisse, Haushaltführung, Kinderbetreuung und Arbeitswoche 1957/1958","Wirtschaft, Beschäftigte, Gleichstellung, Familie, Mutterschaft",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Zuercher-Muetterbefragung-1957-58.pdf"
"Vierteljahres-Überblick",1961,38,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1961","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",122,"https://statistik.stadt-zuerich.ch/modules/StatNat/1961/1961_ZSN_Vierteljahres-Ueberblick.pdf"
"Die Bevölkerungsstruktur der Stadt Zürich",1962,39,"Die stichprobenweise Auswertung von Konfession, Heimat, Alter und Erwerbsklassen der Bevölkerung  in der Zürcher Volkszählung 1960","Bevölkerung, Volkszählung, Bevölkerungsstand, Bevölkerungsgliederung",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Die-Bevoelkerungsstruktur-der-Stadt-Zuerich.pdf"
"Hintergründe und Auswirkungen der Mütterarbeit",1962,39,"Stichprobenweise Befragung von erwerbstätigen Mütter über Beweggründe, Freuden und Plagen der Erwerbstätigkeit, Bedeutung für Gesundheit, Ehe, Familie 1957/1958","Wirtschaft, Beschäftigte, Gleichstellung, Familie, Mutterschaft",38,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Hintergruende-und-Auswirkungen-der-Muetterarbeit.pdf"
"Der Wohnungsbestand in der Stadt Zürich",1962,39,"Erste Ergebnisse der Wohnungszählung vom 1. Dezember 1960, Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1910 bis 1960","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Der-Wohnungsbestand-in-der-Stadt-Zuerich.pdf"
"Starke Zunahme der Pendelwanderung in der Stadt Zürich 1950 bis 1960",1962,39,"Angaben über Ausmass und Richtung des täglichen Berufsverkehrs vom Wohnort zur Arbeitsstätte der Stadt Zürich und Agglomeration 1950 bis 1960","Bevölkerung, Bauen & Wohnen, Wirtschaft, Arbeitsmarkt, Raumplanung, Pendler, Pendelwanderung",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Starke-Zunahme-der-Pendelwanderung-in-der-Stadt-Zuerich-1950-bis-1960.pdf"
"Schlussfolgerungen aus der Zürcher Mütterbefragung",1962,39,"Zusammenfassung der Hauptergebnisse und Schlussfolgerungen aus der Zürcher Mütterbefragung 1958","Wirtschaft, Beschäftigte, Gleichstellung, Familie, Mutterschaft",31,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Schlussfolgerungen-aus-der-Zuercher-Muetterbefragung.pdf"
"Frauenarbeit im Kunstgewerbe, in der Architektur und in der bildenden Kunst",1962,39,"Überblick über die Frauenarbeit im Kunstgewerbe, in der Architektur und in der bildenden Kunst 1962","Wirtschaft, Beschäftigte, Gleichstellung",55,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Frauenarbeit-im-Kunstgewerbe-in-der-Architektur-und-in-der-bildenden-Kunst.pdf"
"Die Bevölkerungsentwicklung in der Stadt und in der Agglomeration Zürich 1962",1962,39,"Bevölkerungsbilanz der Stadt Zürich und der Agglomerationsgemeinden 1962","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Die-Bevoelkerungsentwicklung-in-der-Stadt-und-in-der-Agglomeration-Zuerich-1962.pdf"
"Der Bau- und Wohnungsmarkt in der Stadt und in der Agglomeration Zürich 1962",1962,39,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1962","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Der-Bau--und-Wohnungsmarkt-in-der-Stadt-und-in-der-Agglomeration-Zuerich-1962.pdf"
"Vierteljahres-Überblick",1962,39,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1962","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",122,"https://statistik.stadt-zuerich.ch/modules/StatNat/1962/1962_ZSN_Vierteljahres-Ueberblick.pdf"
"Die Fremdenstadt Zürich 1962",1963,40,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1962","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Die-Fremdenstadt-Zuerich-1962.pdf"
"Zürcher Index der Konsumentenpreise 1962",1963,40,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten für Arbeiter- und Angestelltenfamilien 1962","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Zuercher-Index-der-Konsumentenpreise-1962.pdf"
"Der Einfluss von Konfession und politischer Einstellung bei der Abstimmung über die zürcherischen Kirchengesetze vom 7. Juli 1963",1963,40,"Der Einfluss von Konfession und politischer Einstellung bei der Abstimmung über die zürcherischen Kirchengesetze vom 7. Juli 1963","Konfession, Religion, Stadtkreise, Abstimmungen",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Der-Einfluss-von-Konfession-und-politischer-Einstellung-bei-der-Abstimmung-_-vom-7-Juli-1963.pdf"
"Die gewünschte Kinderzahl und die ideale Familiengrösse",1963,40,"Umfrage bei Ehefrauen in der Stadt Zürich zur Ermittlung der ""entgültigen"", der ""gewünschten"" und der ""idealen"" Familiengrösse 1963","Bevölkerungsentwicklung, Familie, Geburten, Kinder, Bevölkerungsbewegung",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Die-gewuenschte-Kinderzahl-und-die-ideale-Familiengroesse.pdf"
"Zürichs Bevölkerung im Jahre 1963",1963,40,"Bevölkerungsbilanz der Stadt Zürich und der Agglomerationsgemeinden 1963","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1963.pdf"
"Der Wohnungsbau in der Stadt und in der neuen Agglomeration Zürich 1963",1963,40,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1963","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Der-Wohnungsbau-in-der-Stadt-und-in-der-neuen-Agglomeration-Zuerich 1963.pdf"
"Die Beteiligung der Frauen in der Stadt Zürich am kirchlichen Urnengang vom 12. April 1964",1963,40,"Beteiligung der Frauen und Männer nach Konfession am kirchlichen Urnengang vom 12. April 1964","Konfession, Religion, Stadtkreise, Geschlecht, Gleichstellung, Abstimmungen",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Die-Beteiligung-der-Frauen-in-der-Stadt-Zuerich-am-kirchlichen-Urnengang-vom-12-April-1964.pdf"
"Vierteljahres-Überblick",1963,40,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1963","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",121,"https://statistik.stadt-zuerich.ch/modules/StatNat/1963/1963_ZSN_Vierteljahres-Ueberblick.pdf"
"Zum 41. Jahrgang",1964,41,"Umstellungen und Vereinfachungen in der vierteljährlichen Berichterstattung 1964",,1,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Zum-41-Jahrgang.pdf"
"Der Anstieg der Zürcher Konsumentenpreise 1963/64",1964,41,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten für Arbeiter- und Angestelltenfamilien 1963/1964","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Der-Anstieg-der-Zuercher-Konsumentenpreise-1963-64.pdf"
"Der Zürcher Fremdenverkehr im Jahre 1963",1964,41,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1963","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Der-Zuercher-Fremdenverkehr-im-Jahre-1963.pdf"
"Preise elektrischer Haushaltmaschinen und -apparate in der Stadt Zürich 1950 bis 1963",1964,41,"Preisentwicklung der im Zürcher Index der Konsumentenpreise nicht berücksichtigten elektrischen Haushaltmaschinen und -apparate 1950 bis 1963","Indexreihen, Konsumentenpreise, Preise",46,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Preise-elektrischer-Haushaltmaschinen-und--apparate-in-der-Stadt-Zuerich-1950-bis-1963.pdf"
"Der Zürcher Baukostenindex 1939 bis 1964",1964,41,"Halbjährliche Entwicklung der Baukosten, Index für die einzelnen Arbeitsgattungen in der Stadt Zürich 1939 bis 1964","Wohnbaupreise, Indexreihen, Preise , Baukosten",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Der-Zuercher-Baukostenindex-1939-bis-1964.pdf"
"Die Teuerung in der Stadt Zürich 1964",1964,41,"Durchschnittliche, Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten für Arbeiter- und Angestelltenfamilien 1964","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Die-Teuerung-in-der-Stadt-Zuerich-1964.pdf"
"Zürichs Bevölkerung im Jahre 1964",1964,41,"Bevölkerungsbilanz der Stadt Zürich ingesamt, nach Stadtquartieren und nach Kirchgemeinden 1964","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1964.pdf"
"Der Bau- und Wohnungsmarkt in der Stadt und in der Agglomeration Zürich 1964",1964,41,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1964","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Der-Bau--und-Wohnungsmarkt-in-der-Stadt-und-in-der-Agglomeration-Zuerich-1964.pdf"
"Vierteljahres-Überblick",1964,41,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1964","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",164,"https://statistik.stadt-zuerich.ch/modules/StatNat/1964/1964_ZSN_Vierteljahres-Ueberblick.pdf"
"Haushaltungsrechnungen von Zürcher Arbeiter- und Angestelltenfamilien 1962 und 1963",1965,42,"Detaillierte Liste der Einnahmen und Ausgaben inkl. Nahrungsmittelausgaben von Zürcher Arbeiter- und Angestelltenfamilien 1962 und 1963","Haushalte, Wohnen, Lebenshaltungskosten",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1965/1965_ZSN_Haushaltungsrechnungen-von-Zuercher-Arbeiter--und-Angestelltenfamilien-1962-und-1963.pdf"
"Die Bevölkerungsentwicklung in der neuen Agglomeration Zürich 1930 bis 1964",1965,42,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Agglomeration Zürich vom 1930 bis 1964","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung, Bevölkerungsbewegung",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1965/1965_ZSN_Die-Bevoelkerungsentwicklung-in-der-neuen-Agglomeration-Zuerich-1930-bis-1964.pdf"
"Der Anstieg der Zürcher Konsumentenpreise 1965",1965,42,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten für Arbeiter- und Angestelltenfamilien 1965","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1965/1965_ZSN_Der-Anstieg-der-Zuercher-Konsumentenpreise-1965.pdf"
"Der Wohnungsbau in der Stadt Zürich und in der Agglomeration Zürich 1965",1965,42,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1965","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude, Handänderungen, Wohnungsmarkt",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1965/1965_ZSN_Der-Wohnungsbau-in-der-Stadt-Zuerich-und-in-der-Agglomeration-Zuerich-1965.pdf"
"Vierteljahres-Überblick",1965,42,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1965","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",162,"https://statistik.stadt-zuerich.ch/modules/StatNat/1965/1965_ZSN_Vierteljahres-Ueberblick.pdf"
"Die Zürcher Mietpreise im Zeichen der Überwachung",1966,43,"Ergebnisse der Mietpreiserhebung vom April 1966 mit besonderem Augenmerk auf die Mietpreisüberwachung 1966","Bauen & Wohnen, Mieten, Wohnen, Indexreihen",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1966/1966_ZSN_Die-Zuercher-Mietpreise-im-Zeichen-der-Ueberwachung.pdf"
"Die Bevölkerung in der Stadt und in der Agglomeration Zürich 1965",1966,43,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Agglomeration Zürich vom 1965","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1966/1966_ZSN_Die-Bevoelkerung-in-der-Stadt-und-in-der-Agglomeration-Zuerich-1965.pdf"
"Zürich als Zentrum des Fremdenverkehrs",1966,43,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1966","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1966/1966_ZSN_Zuerich-als-Zentrum-des-Fremdenverkehrs.pdf"
