"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Obligatorische Krankenpflegeversicherung der Stadt Zürich",1929,6,"Einnahmen und Ausgaben der städtischen Vertragskassen 1928","Krankenpflegeversicherung, Versicherung",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Obligatorische-Krankenpflegeversicherung-der-Stadt-Zuerich.pdf"
"Zürich als Industriestadt (Fabrikzählung 1929)",1929,6,"Übersicht über die Fabriken der Stadt Zürich 1929","Industriezweig, Fabriken, Industrie",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Zuerich-als-Industriestadt-Fabrikzaehlung-1929.pdf"
"Betreibungen und Konkurse in Zürich",1929,6,"Entwicklung der Betreibungen und Konkurse der Stadt Zürich 1893 bis 1928","Betreibungen, Konkurse",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Betreibungen-und-Konkurse-in-Zuerich.pdf"
"Zürcher Bau- und Wohnungsmarkt 1929/30",1929,6,"Überblick über den Zürcher Bau- und Wohnungsmarkt mit leerstehenden, neu erstellten Wohnungen und ein Ausblick im Jahre 1929","Bauen & Wohnen, Grundstückpreise, Gebäude, Liegenschaftenhandel, Wohnungen",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1929-30.pdf"
"Meteorologischer Charakter der Jahre 1926-1929 für Zürich",1929,6,"Überblick über die meteoroloschen Daten von Zürich 1926 bis 1929","Wetter, Temperaturen,",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Meteorologischer-Charakter-der-Jahre-1926-1929-fuer-Zuerich.pdf"
"Altersbeihilfe der Stadt Zürich",1929,6,"Aufsatz über die Annahme der Altersbeihilfe der Stadt Zürich 1929","Altersbeihilfe",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Altersbeihilfe-der-Stadt-Zuerich.pdf"
"Vierteljahres-Überblick",1929,6,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Wohnungsmarkt und der Preise der einzelnen Quartale im Überblick 1929","Bevölkerung, Bevölkerungsentwicklung, Eheschliessung, Familie, Geburten, Sterbefälle, Bauen & Wohnen, Bevölkerungsbilanz, Arbeitsmarkt, Verkehr, Betriebe",112,"https://statistik.stadt-zuerich.ch/modules/StatNat/1929/1929_ZSN_Vierteljahres-Ueberblick.pdf"
"Zur Finanzlage der Stadt Zürich",1930,7,"Entwicklung und Vergleich der Finanzen der Stadt Zürich 1893 bis 1929","Steuern, Finanzen",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Zur-Finanzlage-der-Stadt-Zuerich.pdf"
"Zur Entwicklung des Zürcher Luftverkehrs",1930,7,"Entwicklung des zürcher Luftverkehrs und Vergleich mit Basel und Genf 1922 bis 1929","Verkehr, Luftverkehr",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Zur-Entwicklung-des-Zuercher-Luftverkehrs.pdf"
"Berufswunsch und Berufswahl der stadtzürcherischen Jugend",1930,7,"Übersicht über die Berufsbefragung, Berufswechsel, gewählte Berufe und Berufswünsche der aus der Schule ausgetretenen städtischen Schüler 1927 bis 1929","Bildung, Schule,",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Berufswunsch-und-Berufswahl-der-stadtzuercherischen-Jugend.pdf"
"Einkommensverhältnisse kaufmännischer Angestellter in Zürich 1928",1930,7,"Lohnvergleiche zwischen den Gradierten und Nichgradierten kaufmänischen Angestellten in Zürich 1928","Löhne, Bildungsabschluss",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Einkommensverhaeltnisse-kaufmaennischer-Angestellter-in-Zuerich-1928.pdf"
"Das Zürcher Sendegebiet in der schweizerischen Radiobewegung",1930,7,"Anteile der zürcher Sendestationen an den Konzessionsgebühren 1920 bis 1929","Konzessionsgebühren, Sendestationen",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Das-Zuercher-Sendegebiet-in-der-schweizerischen-Radiobewegung.pdf"
