"objectid","id","sensor_eui","zeitpunkt","temperature","humidity","latitude","longitude","noise","sit","geometry"
"19396","24198","0080E115003BCA55","20220826005219","21.54","69.11","47.37616210","8.54405050","45","0","POINT (2683482.5 1247846.1)"
"19397","24199","0080E115003BCA55","20220826002219","21.54","69.11","47.37616210","8.54405050","45","0","POINT (2683482.5 1247846.1)"
"19398","24200","0080E115003BCA55","20220825235219","21.54","69.11","47.37616210","8.54405050","45","0","POINT (2683482.5 1247846.1)"
"19550","22406","0080E1150017A139","20220824131246","25.72","36.45","47.37015240","8.54160950","45","0","POINT (2683307.5 1247175.4)"
"19552","22408","0080E1150017A139","20220824121246","25.72","36.45","47.37015240","8.54160950","45","0","POINT (2683307.5 1247175.4)"
"19814","22454","0080E1150017A139","20220824151755","27.26","33.08","47.37011280","8.54182600","45","0","POINT (2683324 1247171.2)"
"19815","22455","0080E1150017A139","20220824144755","27.26","33.08","47.37011280","8.54182600","46","0","POINT (2683324 1247171.2)"
"19878","23527","0080E115003BCA55","20220825155739","26.87","43.79","47.37066240","8.54187180","45","68","POINT (2683326.5 1247232.4)"
"19879","23528","0080E115003BCA55","20220825152739","26.87","43.79","47.37066240","8.54187180","45","0","POINT (2683326.5 1247232.4)"
"19987","24357","0080E115003BCA55","20220826074139","19.99","73.59","47.37161790","8.54163880","45","0","POINT (2683307.5 1247338.4)"
"19988","24358","0080E115003BCA55","20220826071139","19.99","73.59","47.37161790","8.54163880","45","0","POINT (2683307.5 1247338.4)"
"19989","24359","0080E115003BCA55","20220826064139","19.99","73.59","47.37161790","8.54163880","45","0","POINT (2683307.5 1247338.4)"
"19990","24360","0080E115003BCA55","20220826061139","19.99","73.59","47.37161790","8.54163880","45","0","POINT (2683307.5 1247338.4)"
"20393","22601","0080E1150017A139","20220824220400","23.30","52.50","47.37009850","8.54163140","45","0","POINT (2683309.2 1247169.4)"
"20395","22603","0080E1150017A139","20220824210400","23.30","52.50","47.37009850","8.54163140","45","0","POINT (2683309.2 1247169.4)"
"20840","24562","0080E115003BCA55","20220826153610","27.87","35.74","47.37003000","8.54170800","45","13","POINT (2683315.2 1247161.9)"
"20842","24564","0080E115003BCA55","20220826143610","27.87","35.74","47.37003000","8.54170800","45","38","POINT (2683315.2 1247161.9)"
"22970","22153","0080E1150017A139","20220824031354","19.06","57.85","47.37000970","8.54158500","45","0","POINT (2683306 1247159.5)"
"22971","22154","0080E1150017A139","20220824024354","19.06","57.85","47.37000970","8.54158500","45","0","POINT (2683306 1247159.5)"
