Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,22.99,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,33.8,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,63.12,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,12.99,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,PM2.5,d1,µg/m3,7.32,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,1.1,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,10.96,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,6.62,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,59.03,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,73.15,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,10.13,provisorisch
2026-01-05T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,8.73,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,16.9,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,44,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,36.56,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,26.64,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,61.19,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,24.86,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,13.04,provisorisch
2026-01-05T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,19384.33,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,11.54,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,40.5,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,30.43,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,31.5,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,58.42,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,26.61,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,12.6,provisorisch
2026-01-05T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,12772.71,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,6.32,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,29.29,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,20.39,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,38.48,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,65.13,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,20.32,provisorisch
2026-01-05T00:00+0100,Zch_Stampfenbachstrasse,PM2.5,d1,µg/m3,11.46,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,5.87,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,27.62,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,19.15,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,32.05,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,55.63,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,17.08,provisorisch
2026-01-06T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,14.81,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,27.25,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,49.69,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,47.83,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,11.95,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,33.5,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,31.55,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,19.86,provisorisch
2026-01-06T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,21560.97,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,30.62,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,51.61,provisorisch
