Abstimmungs_Datum,Nr_Politische_Ebene,Name_Politische_Ebene,Abstimmungs_Text,Nr_Resultat_Gebiet,Name_Resultat_Gebiet,Nr_Wahlkreis_StZH,Name_Wahlkreis_StZH,Stimmberechtigt,Ja_Absolut,Nein_Absolut,Stimmbeteiligung_Prozent,Ja_Prozent,Nein_Prozent,Staende_Ja,Staende_Nein
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,7,Kreis 9,32043,7349,6025,44.7,54.9,45.1,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,8,Kreis 10,24455,7363,5201,54.3,58.6,41.4,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,9,Kreis 11,38058,7798,6898,41.4,53.1,46.9,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,10,Kreis 12,15464,2576,2446,35.1,51.3,48.7,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 12. Mai 2025,3,Stadt Zürich,,,237157,60748,46720,48.3,56.5,43.5,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,2,Kanton Zürich,,,941331,212709,204251,46.2,51,49,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,2,Kreis 1+2,23372,5182,6041,50.1,46.2,53.8,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,3,Kreis 3,27707,5580,7701,49.7,42,58,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,4,Kreis 4+5,24384,4480,7167,49.4,38.5,61.5,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,5,Kreis 6,19832,5004,5884,57.2,46,54,,
